trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide11.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio11.wav,36.328285600058734,36.31271732009481,11,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017, 0.1479667000239715, 0.14929760002996773, 0.16323299997020513, 0.17850620008539408, 0.1465374999679625]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233, 0.00020030001178383827, 0.00020060001406818628, 0.014852400054223835, 0.17851290001999587, 0.1465452000265941]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide12.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio12.wav,36.51541930006351,36.5131226201076,12,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017, 0.1479667000239715, 0.14929760002996773, 0.16323299997020513, 0.17850620008539408, 0.1465374999679625, 0.17383550002705306]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233, 0.00020030001178383827, 0.00020060001406818628, 0.014852400054223835, 0.17851290001999587, 0.014677600003778934, 0.17384239996317774]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide13.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio13.wav,36.828356400015764,36.82435372010804,13,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017, 0.1479667000239715, 0.14929760002996773, 0.16323299997020513, 0.17850620008539408, 0.1465374999679625, 0.17383550002705306, 0.11069470003712922]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233, 0.00020030001178383827, 0.00020060001406818628, 0.014852400054223835, 0.17851290001999587, 0.014677600003778934, 0.17384239996317774, 0.11070130008738488]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide14.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio14.wav,37.000839100102894,36.990801520110104,14,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017, 0.1479667000239715, 0.14929760002996773, 0.16323299997020513, 0.17850620008539408, 0.1465374999679625, 0.17383550002705306, 0.11069470003712922, 0.2094290000386536]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233, 0.00020030001178383827, 0.00020060001406818628, 0.014852400054223835, 0.17851290001999587, 0.014677600003778934, 0.17384239996317774, 0.00020610005594789982, 0.2094367000972852]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide15.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio15.wav,37.37865680002142,37.36130950006191,15,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017, 0.1479667000239715, 0.14929760002996773, 0.16323299997020513, 0.17850620008539408, 0.1465374999679625, 0.17383550002705306, 0.11069470003712922, 0.2094290000386536, 0.163349200040102]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233, 0.00020030001178383827, 0.00020060001406818628, 0.014852400054223835, 0.17851290001999587, 0.014677600003778934, 0.17384239996317774, 0.00020610005594789982, 0.2094367000972852, 0.16335859999526292]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide16.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio16.wav,37.58235710009467,37.57917162000667,16,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017, 0.1479667000239715, 0.14929760002996773, 0.16323299997020513, 0.17850620008539408, 0.1465374999679625, 0.17383550002705306, 0.11069470003712922, 0.2094290000386536, 0.163349200040102, 0.2569975000806153]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233, 0.00020030001178383827, 0.00020060001406818628, 0.014852400054223835, 0.17851290001999587, 0.014677600003778934, 0.17384239996317774, 0.00020610005594789982, 0.2094367000972852, 0.014314900035969913, 0.2570032000076026]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide17.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio17.wav,37.96250520006288,37.957880640029906,17,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017, 0.1479667000239715, 0.14929760002996773, 0.16323299997020513, 0.17850620008539408, 0.1465374999679625, 0.17383550002705306, 0.11069470003712922, 0.2094290000386536, 0.163349200040102, 0.2569975000806153, 0.24940179998520762]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233, 0.00020030001178383827, 0.00020060001406818628, 0.014852400054223835, 0.17851290001999587, 0.014677600003778934, 0.17384239996317774, 0.00020610005594789982, 0.2094367000972852, 0.014314900035969913, 0.2570032000076026, 0.24940850003622472]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
