trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio11.wav,36.17402989999391,36.15741969998926,11,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808, 0.04194979998283088, 0.4080229999963194, 0.35627290001139045, 0.17211420001694933, 0.15386249998118728]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236, 0.10650019999593496, 0.18961409997427836, 0.03797689999919385, 0.037433299992699176, 0.15387099998770282]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide12.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio12.wav,36.363257299992256,36.35712775001303,12,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808, 0.04194979998283088, 0.4080229999963194, 0.35627290001139045, 0.17211420001694933, 0.15386249998118728, 0.3434405999723822]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236, 0.10650019999593496, 0.18961409997427836, 0.03797689999919385, 0.037433299992699176, 0.1598502999986522, 0.34344789996976033]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/x_increasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide13.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio13.wav,36.89031069999328,36.87459625003394,13,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808, 0.04194979998283088, 0.4080229999963194, 0.35627290001139045, 0.17211420001694933, 0.15386249998118728, 0.3434405999723822, 0.3783055000239983]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236, 0.10650019999593496, 0.18961409997427836, 0.03797689999919385, 0.037433299992699176, 0.1598502999986522, 0.22637420002138242, 0.3783119000145234]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide14.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio14.wav,37.307502800016664,37.290905750019014,14,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808, 0.04194979998283088, 0.4080229999963194, 0.35627290001139045, 0.17211420001694933, 0.15386249998118728, 0.3434405999723822, 0.3783055000239983, 0.15462660003686324]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236, 0.10650019999593496, 0.18961409997427836, 0.03797689999919385, 0.037433299992699176, 0.1598502999986522, 0.22637420002138242, 0.00019200000679120421, 0.15463450003881007]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/x_increasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide15.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio15.wav,37.57383210002445,37.55747835005168,15,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808, 0.04194979998283088, 0.4080229999963194, 0.35627290001139045, 0.17211420001694933, 0.15386249998118728, 0.3434405999723822, 0.3783055000239983, 0.15462660003686324, 0.07597600005101413]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236, 0.10650019999593496, 0.18961409997427836, 0.03797689999919385, 0.037433299992699176, 0.1598502999986522, 0.22637420002138242, 0.00019200000679120421, 0.15463450003881007, 0.07598380005219951]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide16.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio16.wav,37.68491279997397,37.674467750021726,16,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808, 0.04194979998283088, 0.4080229999963194, 0.35627290001139045, 0.17211420001694933, 0.15386249998118728, 0.3434405999723822, 0.3783055000239983, 0.15462660003686324, 0.07597600005101413, 0.13823889999184757]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236, 0.10650019999593496, 0.18961409997427836, 0.03797689999919385, 0.037433299992699176, 0.1598502999986522, 0.22637420002138242, 0.00019200000679120421, 0.15463450003881007, 0.01579219999257475, 0.13824549998389557]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/x_increasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide17.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio17.wav,37.92450439999811,37.90744310002774,17,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808, 0.04194979998283088, 0.4080229999963194, 0.35627290001139045, 0.17211420001694933, 0.15386249998118728, 0.3434405999723822, 0.3783055000239983, 0.15462660003686324, 0.07597600005101413, 0.13823889999184757, 0.3509353999979794]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236, 0.10650019999593496, 0.18961409997427836, 0.03797689999919385, 0.037433299992699176, 0.1598502999986522, 0.22637420002138242, 0.00019200000679120421, 0.15463450003881007, 0.01579219999257475, 0.13372059998800978, 0.35094129998469725]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
