trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,image_break.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,draw_alienStim,draw_alienID,test_x,nrepcount,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio11.wav,64.54989200003911,64.53424527999015,11,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019, 0.1249266000231728, 0.13553750002756715, 0.13309050002135336, 0.09045550005976111, 0.17290420003701001]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 0.0002101999707520008, 0.0001984999980777502, 0.13554480008315295, 0.13309750007465482, 0.0001996000064536929, 0.17291580000892282]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide12.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio12.wav,64.78327679994982,64.76579903992824,12,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019, 0.1249266000231728, 0.13553750002756715, 0.13309050002135336, 0.09045550005976111, 0.17290420003701001, 0.13212570000905544]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 0.0002101999707520008, 0.0001984999980777502, 0.13554480008315295, 0.13309750007465482, 0.0001996000064536929, 0.17291580000892282, 0.13213229994289577]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide13.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio13.wav,65.05113949999213,65.0343283399241,13,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019, 0.1249266000231728, 0.13553750002756715, 0.13309050002135336, 0.09045550005976111, 0.17290420003701001, 0.13212570000905544, 0.12237040000036359]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 0.0002101999707520008, 0.0001984999980777502, 0.13554480008315295, 0.13309750007465482, 0.0001996000064536929, 0.17291580000892282, 0.13213229994289577, 0.12237739993724972]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide14.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio14.wav,65.21541730000172,65.21594583995174,14,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019, 0.1249266000231728, 0.13553750002756715, 0.13309050002135336, 0.09045550005976111, 0.17290420003701001, 0.13212570000905544, 0.12237040000036359, 0.14631679991725832]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 0.0002101999707520008, 0.0001984999980777502, 0.13554480008315295, 0.13309750007465482, 0.0001996000064536929, 0.17291580000892282, 0.13213229994289577, 0.12237739993724972, 0.14632539998274297]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide15.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio15.wav,65.5999002000317,65.5785105400253,15,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019, 0.1249266000231728, 0.13553750002756715, 0.13309050002135336, 0.09045550005976111, 0.17290420003701001, 0.13212570000905544, 0.12237040000036359, 0.14631679991725832, 0.22475329996086657]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 0.0002101999707520008, 0.0001984999980777502, 0.13554480008315295, 0.13309750007465482, 0.0001996000064536929, 0.17291580000892282, 0.13213229994289577, 0.12237739993724972, 0.028684799908660352, 0.2247608999023214]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide16.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio16.wav,65.87354519998189,65.86181863998063,16,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019, 0.1249266000231728, 0.13553750002756715, 0.13309050002135336, 0.09045550005976111, 0.17290420003701001, 0.13212570000905544, 0.12237040000036359, 0.14631679991725832, 0.22475329996086657, 0.2246271000476554]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 0.0002101999707520008, 0.0001984999980777502, 0.13554480008315295, 0.13309750007465482, 0.0001996000064536929, 0.17291580000892282, 0.13213229994289577, 0.12237739993724972, 0.028684799908660352, 0.014620800036936998, 0.22463439998682588]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide17.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio17.wav,66.21644440002274,66.19924632003531,17,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019, 0.1249266000231728, 0.13553750002756715, 0.13309050002135336, 0.09045550005976111, 0.17290420003701001, 0.13212570000905544, 0.12237040000036359, 0.14631679991725832, 0.22475329996086657, 0.2246271000476554, 0.14192660001572222]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 0.0002101999707520008, 0.0001984999980777502, 0.13554480008315295, 0.13309750007465482, 0.0001996000064536929, 0.17291580000892282, 0.13213229994289577, 0.12237739993724972, 0.028684799908660352, 0.014620800036936998, 0.22463439998682588, 0.141935900086537]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
