trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,text_2.stopped,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio11.wav,71.98414870002307,71.96350952000357,11,"[3.761934000009205, 0.6022230999660678, 2.1955465999781154, 0.35567790002096444, 0.2957173999748193, 0.37212209997233003, 0.4176661999663338, 0.4579248999943957, 1.00332790001994, 0.4493209000211209, 0.381854800041765]","[0.10068949998822063, 0.09493919997476041, 0.07284510001773015, 0.0949104999890551, 0.12281979998806491, 0.09831169998506084, 0.10728019999805838, 0.10306579997995868, 0.14527640002779663, 0.11765780003042892, 0.38186880003195256]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_21h53.21.681,HideSeek_v1,2022.2.5,60.14136829154068,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide12.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio12.wav,72.46554580004886,72.45901619002106,12,"[3.761934000009205, 0.6022230999660678, 2.1955465999781154, 0.35567790002096444, 0.2957173999748193, 0.37212209997233003, 0.4176661999663338, 0.4579248999943957, 1.00332790001994, 0.4493209000211209, 0.381854800041765, 0.5496646999963559]","[0.10068949998822063, 0.09493919997476041, 0.07284510001773015, 0.0949104999890551, 0.12281979998806491, 0.09831169998506084, 0.10728019999805838, 0.10306579997995868, 0.14527640002779663, 0.11765780003042892, 0.11844610003754497, 0.5496765000279993]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_21h53.21.681,HideSeek_v1,2022.2.5,60.14136829154068,
1,3,2,8,2,5,0,66,2,instr_dim1_1,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/inputInstr_1.xlsx,stimuli/alien_stimuli/66.png,73.24527430004673,73.24527430004673,73.24527430004673,73.24527430004673,73.12517856000922,return,3.1744884000509046,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",2,2,8,3,0.0,0.4,76.70390830002725,76.70390830002725,76.70390830002725,76.70390830002725,76.70390830002725,76.70390830002725,76.70390830002725,76.6260645400267,0.9361005999962799,return,0.6537822000100277,stimuli/alien_stimuli/66.png,66,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_21h53.21.681,HideSeek_v1,2022.2.5,60.14136829154068,
,,,,,,,,,,,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_x_first/x_increasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_21h53.21.681,HideSeek_v1,2022.2.5,60.14136829154068,
,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide13.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio13.wav,77.63050810003188,77.60956864999025,13,"[3.761934000009205, 0.6022230999660678, 2.1955465999781154, 0.35567790002096444, 0.2957173999748193, 0.37212209997233003, 0.4176661999663338, 0.4579248999943957, 1.00332790001994, 0.4493209000211209, 0.381854800041765, 0.5496646999963559, 0.9311145999818109]","[0.10068949998822063, 0.09493919997476041, 0.07284510001773015, 0.0949104999890551, 0.12281979998806491, 0.09831169998506084, 0.10728019999805838, 0.10306579997995868, 0.14527640002779663, 0.11765780003042892, 0.11844610003754497, 0.5496765000279993, 0.931133600010071]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_21h53.21.681,HideSeek_v1,2022.2.5,60.14136829154068,
,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide14.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio14.wav,78.66277800005628,78.64624429004616,14,"[3.761934000009205, 0.6022230999660678, 2.1955465999781154, 0.35567790002096444, 0.2957173999748193, 0.37212209997233003, 0.4176661999663338, 0.4579248999943957, 1.00332790001994, 0.4493209000211209, 0.381854800041765, 0.5496646999963559, 0.9311145999818109, 0.6226869000238366]","[0.10068949998822063, 0.09493919997476041, 0.07284510001773015, 0.0949104999890551, 0.12281979998806491, 0.09831169998506084, 0.10728019999805838, 0.10306579997995868, 0.14527640002779663, 0.11765780003042892, 0.11844610003754497, 0.5496765000279993, 0.02361520001431927, 0.6226984999957494]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_21h53.21.681,HideSeek_v1,2022.2.5,60.14136829154068,
2,4,0,4,0,0,0,16,2,instr_dim1_1,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/16.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/inputInstr_1.xlsx,stimuli/alien_stimuli/16.png,79.48928560002241,79.48928560002241,79.48928560002241,79.48928560002241,79.41179463001318,return,1.1831929000327364,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",0,0,4,4,0.0,0.0,80.98944540001685,80.98944540001685,80.98944540001685,80.98944540001685,80.98944540001685,80.98944540001685,80.98944540001685,80.87563293999992,0.49953900004038587,return,0.17161909997230396,stimuli/alien_stimuli/16.png,16,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_21h53.21.681,HideSeek_v1,2022.2.5,60.14136829154068,
,,,,,,,,,,,30,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_x_first/x_increasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_21h53.21.681,HideSeek_v1,2022.2.5,60.14136829154068,
,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide15.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio15.wav,81.45790350000607,81.4427482200088,15,"[3.761934000009205, 0.6022230999660678, 2.1955465999781154, 0.35567790002096444, 0.2957173999748193, 0.37212209997233003, 0.4176661999663338, 0.4579248999943957, 1.00332790001994, 0.4493209000211209, 0.381854800041765, 0.5496646999963559, 0.9311145999818109, 0.6226869000238366, 1.9841924000065774]","[0.10068949998822063, 0.09493919997476041, 0.07284510001773015, 0.0949104999890551, 0.12281979998806491, 0.09831169998506084, 0.10728019999805838, 0.10306579997995868, 0.14527640002779663, 0.11765780003042892, 0.11844610003754497, 0.5496765000279993, 0.02361520001431927, 0.6226984999957494, 1.9842051999876276]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_21h53.21.681,HideSeek_v1,2022.2.5,60.14136829154068,
,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide16.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio16.wav,83.55448640004033,83.54210296003147,16,"[3.761934000009205, 0.6022230999660678, 2.1955465999781154, 0.35567790002096444, 0.2957173999748193, 0.37212209997233003, 0.4176661999663338, 0.4579248999943957, 1.00332790001994, 0.4493209000211209, 0.381854800041765, 0.5496646999963559, 0.9311145999818109, 0.6226869000238366, 1.9841924000065774, 0.9329402000294067]","[0.10068949998822063, 0.09493919997476041, 0.07284510001773015, 0.0949104999890551, 0.12281979998806491, 0.09831169998506084, 0.10728019999805838, 0.10306579997995868, 0.14527640002779663, 0.11765780003042892, 0.11844610003754497, 0.5496765000279993, 0.02361520001431927, 0.6226984999957494, 0.026810000010300428, 0.9329515999997966]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_21h53.21.681,HideSeek_v1,2022.2.5,60.14136829154068,
