trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide11.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio11.wav,3335.624375499785,3335.6209646800066,11,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777, 5.285353499930352, 5.606864599976689, 11.674257500097156, 5.857324100099504, 7.150740399956703, 10.25264640012756]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 0.047988600097596645, 0.03581119980663061, 0.08123400015756488, 0.052296100184321404, 0.09492369974032044, 0.04749630019068718, 10.25265290029347]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide12.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio12.wav,3345.9476312999614,3345.9462492999155,12,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777, 5.285353499930352, 5.606864599976689, 11.674257500097156, 5.857324100099504, 7.150740399956703, 10.25264640012756, 14.057847400195897]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 0.047988600097596645, 0.03581119980663061, 0.08123400015756488, 0.052296100184321404, 0.09492369974032044, 0.04749630019068718, 0.0002305000089108944, 14.057855200022459]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
1,0,3,0,8,0,5,66,2,instr_dim1_1,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/inputInstr_1.xlsx,stimuli/alien_stimuli/66.png,3360.1020224997774,3360.1020224997774,3360.1020224997774,3360.1020224997774,3360.091146359965,return,10.918712300248444,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",8,3,0,0,0.4,0.0,3371.189423599746,3371.189423599746,3371.189423599746,3371.189423599746,3371.189423599746,3371.189423599746,3371.189423599746,3371.1837791394905,8.991752999834716,return,8.83453580038622,stimuli/alien_stimuli/66.png,66,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,30,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/blue_star_00/bottom_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide13.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio13.wav,3380.1698920000345,3380.157686779648,13,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777, 5.285353499930352, 5.606864599976689, 11.674257500097156, 5.857324100099504, 7.150740399956703, 10.25264640012756, 14.057847400195897, 17.699910799972713]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 0.047988600097596645, 0.03581119980663061, 0.08123400015756488, 0.052296100184321404, 0.09492369974032044, 0.04749630019068718, 0.0002305000089108944, 14.057855200022459, 17.699918600264937]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide14.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio14.wav,3397.9421549998224,3397.9390377996024,14,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777, 5.285353499930352, 5.606864599976689, 11.674257500097156, 5.857324100099504, 7.150740399956703, 10.25264640012756, 14.057847400195897, 17.699910799972713, 17.25863890023902]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 0.047988600097596645, 0.03581119980663061, 0.08123400015756488, 0.052296100184321404, 0.09492369974032044, 0.04749630019068718, 0.0002305000089108944, 14.057855200022459, 0.04622570006176829, 17.25864650029689]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
2,2,3,2,3,0,0,61,2,instr_dim1_1,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/61.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/inputInstr_1.xlsx,stimuli/alien_stimuli/61.png,3415.294069599826,3415.294069599826,3415.294069599826,3415.294069599826,3415.287086959742,return,6.447385400533676,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",3,3,2,2,0.0,0.0,3421.8805435998365,3421.8805435998365,3421.8805435998365,3421.8805435998365,3421.8805435998365,3421.8805435998365,3421.8805435998365,3421.875837679859,8.374390299897641,return,8.224586200434715,stimuli/alien_stimuli/61.png,61,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,30,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/blue_star_00/bottom_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide15.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio15.wav,3430.2920094998553,3430.282759699505,15,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777, 5.285353499930352, 5.606864599976689, 11.674257500097156, 5.857324100099504, 7.150740399956703, 10.25264640012756, 14.057847400195897, 17.699910799972713, 17.25863890023902, 43.190420099999756]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 0.047988600097596645, 0.03581119980663061, 0.08123400015756488, 0.052296100184321404, 0.09492369974032044, 0.04749630019068718, 0.0002305000089108944, 14.057855200022459, 0.04622570006176829, 17.25864650029689, 43.1904271999374]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide16.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio16.wav,3473.5574616999365,3473.5520581996534,16,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777, 5.285353499930352, 5.606864599976689, 11.674257500097156, 5.857324100099504, 7.150740399956703, 10.25264640012756, 14.057847400195897, 17.699910799972713, 17.25863890023902, 43.190420099999756, 22.944520799908787]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 0.047988600097596645, 0.03581119980663061, 0.08123400015756488, 0.052296100184321404, 0.09492369974032044, 0.04749630019068718, 0.0002305000089108944, 14.057855200022459, 0.04622570006176829, 17.25864650029689, 0.1287622000090778, 22.94452749984339]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
