beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide11.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio11.wav,44.396754999877885,44.39722274011001,11,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.38264269987121224]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide12.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio12.wav,44.83037679991685,44.83119173999876,12,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307, 0.3481491000857204]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.03160010022111237, 0.34815710014663637]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_x_first/red_square_00/top_right/inputTrain_1.1.xlsx,99,1,1,1,0,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide13.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio13.wav,45.384326400002465,45.38127303007059,13,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307, 0.3481491000857204, 0.47835589991882443]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.03160010022111237, 0.34815710014663637, 0.47836240008473396]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide14.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio14.wav,45.91598040005192,45.9153009399306,14,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307, 0.3481491000857204, 0.47835589991882443, 0.2967048001009971]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.03160010022111237, 0.34815710014663637, 0.013961500022560358, 0.2967113999184221]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_x_first/red_square_00/top_right/inputTrain_1.1.xlsx,99,1,1,1,0,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide15.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio15.wav,46.362291699973866,46.34894609008916,15,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307, 0.3481491000857204, 0.47835589991882443, 0.2967048001009971, 1.2186575999949127]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.03160010022111237, 0.34815710014663637, 0.013961500022560358, 0.2967113999184221, 1.2186644000466913]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide16.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio16.wav,47.63442340004258,47.633372840005904,16,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307, 0.3481491000857204, 0.47835589991882443, 0.2967048001009971, 1.2186575999949127, 0.9139479000587016]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.03160010022111237, 0.34815710014663637, 0.013961500022560358, 0.2967113999184221, 0.01392549998126924, 0.9139548998791724]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_x_first/red_square_00/top_right/inputTrain_1.1.xlsx,99,1,1,1,0,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide17.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio17.wav,48.6879863999784,48.68442079005763,17,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307, 0.3481491000857204, 0.47835589991882443, 0.2967048001009971, 1.2186575999949127, 0.9139479000587016, 5.198175099911168]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.03160010022111237, 0.34815710014663637, 0.013961500022560358, 0.2967113999184221, 0.01392549998126924, 0.9139548998791724, 5.198184099979699]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide18.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio18.wav,53.938319500070065,53.93866313993931,18,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307, 0.3481491000857204, 0.47835589991882443, 0.2967048001009971, 1.2186575999949127, 0.9139479000587016, 5.198175099911168, 1.4323855000548065]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.03160010022111237, 0.34815710014663637, 0.013961500022560358, 0.2967113999184221, 0.01392549998126924, 0.9139548998791724, 0.04690290009602904, 1.4323938000015914]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide19.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio19.wav,55.4079990000464,55.406828929902986,19,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307, 0.3481491000857204, 0.47835589991882443, 0.2967048001009971, 1.2186575999949127, 0.9139479000587016, 5.198175099911168, 1.4323855000548065, 0.7133001000620425]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.03160010022111237, 0.34815710014663637, 0.013961500022560358, 0.2967113999184221, 0.01392549998126924, 0.9139548998791724, 0.04690290009602904, 0.07924490002915263, 0.7133079001214355]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide20.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio20.wav,56.173449399881065,56.17379103996791,20,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307, 0.3481491000857204, 0.47835589991882443, 0.2967048001009971, 1.2186575999949127, 0.9139479000587016, 5.198175099911168, 1.4323855000548065, 0.7133001000620425, 0.6313342000357807]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.03160010022111237, 0.34815710014663637, 0.013961500022560358, 0.2967113999184221, 0.01392549998126924, 0.9139548998791724, 0.04690290009602904, 0.07924490002915263, 0.031114700017496943, 0.6313405002001673]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_x_first/red_square_00/top_right/inputTrain_1.1.xlsx,99,1,1,1,0,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide21.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio21.wav,56.94833519984968,56.94102399004623,21,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307, 0.3481491000857204, 0.47835589991882443, 0.2967048001009971, 1.2186575999949127, 0.9139479000587016, 5.198175099911168, 1.4323855000548065, 0.7133001000620425, 0.6313342000357807, 2.8588934000581503]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.03160010022111237, 0.34815710014663637, 0.013961500022560358, 0.2967113999184221, 0.01392549998126924, 0.9139548998791724, 0.04690290009602904, 0.07924490002915263, 0.031114700017496943, 0.6313405002001673, 2.858900499995798]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_x_first/red_square_00/top_right/inputTrain_1.1.xlsx,99,1,1,1,0,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide22.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio22.wav,59.95684009999968,59.94365408993326,22,"[4.8438560999929905, 1.837733899941668, 0.3236130001023412, 0.2237971001304686, 0.5188657999970019, 0.2853373000398278, 0.25120329996570945, 0.2667113998904824, 0.3340643001720309, 0.7996143999043852, 0.38263479992747307, 0.3481491000857204, 0.47835589991882443, 0.2967048001009971, 1.2186575999949127, 0.9139479000587016, 5.198175099911168, 1.4323855000548065, 0.7133001000620425, 0.6313342000357807, 2.8588934000581503, 4.254176500020549]","[4.843868100084364, 0.03626179997809231, 0.0002850000746548176, 0.035224399995058775, 0.014021700015291572, 0.034139700001105666, 0.03333539981395006, 0.03371220012195408, 0.03174289991147816, 0.013897799886763096, 0.03160010022111237, 0.34815710014663637, 0.013961500022560358, 0.2967113999184221, 0.01392549998126924, 0.9139548998791724, 0.04690290009602904, 0.07924490002915263, 0.031114700017496943, 0.6313405002001673, 2.858900499995798, 4.2541831999551505]",0,,,,,,,,,,,,,,,,,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_x_first/red_square_00/top_right/inputTrain_1.1.xlsx,99,1,1,1,0,Ondrej,train_x,red_square,top_right,2025-02-05_13h35.42.817,HideSeek_v1,2022.2.5,60.022784598925014,
,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide23.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio23.wav,64.35403629997745,64.34722559014335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
