trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,draw_alienStim,draw_alienID,test_x,nrepcount,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide11.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio11.wav,47.12990370008629,47.12856781007722,11,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651, 0.6903856999706477, 0.5761315000709146, 0.46501200005877763, 1.420696199988015, 4.530058000003919]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.17023709998466074, 0.15993920003529638, 0.131582299945876, 0.16993159998673946, 0.16292879998218268, 4.5300641999347135]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide12.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio12.wav,51.70788810006343,51.693804610078224,12,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651, 0.6903856999706477, 0.5761315000709146, 0.46501200005877763, 1.420696199988015, 4.530058000003919, 5.6848815000848845]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.17023709998466074, 0.15993920003529638, 0.131582299945876, 0.16993159998673946, 0.16292879998218268, 0.15098380006384104, 5.684888100018725]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide13.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio13.wav,57.532898000092246,57.52755062999204,13,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651, 0.6903856999706477, 0.5761315000709146, 0.46501200005877763, 1.420696199988015, 4.530058000003919, 5.6848815000848845, 4.926612399984151]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.17023709998466074, 0.15993920003529638, 0.131582299945876, 0.16993159998673946, 0.16292879998218268, 0.15098380006384104, 0.07618670002557337, 4.92661920003593]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide14.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio14.wav,62.520640500006266,62.511460980004635,14,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651, 0.6903856999706477, 0.5761315000709146, 0.46501200005877763, 1.420696199988015, 4.530058000003919, 5.6848815000848845, 4.926612399984151, 1.922809400013648]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.17023709998466074, 0.15993920003529638, 0.131582299945876, 0.16993159998673946, 0.16292879998218268, 0.15098380006384104, 0.07618670002557337, 0.13831119996029884, 1.9228153999429196]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide15.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio15.wav,64.57280980003998,64.56136076003314,15,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651, 0.6903856999706477, 0.5761315000709146, 0.46501200005877763, 1.420696199988015, 4.530058000003919, 5.6848815000848845, 4.926612399984151, 1.922809400013648, 3.5211580999894068]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.17023709998466074, 0.15993920003529638, 0.131582299945876, 0.16993159998673946, 0.16292879998218268, 0.15098380006384104, 0.07618670002557337, 0.13831119996029884, 0.08717319997958839, 3.521164699923247]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide16.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio16.wav,68.16072380007245,68.16157025005668,16,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651, 0.6903856999706477, 0.5761315000709146, 0.46501200005877763, 1.420696199988015, 4.530058000003919, 5.6848815000848845, 4.926612399984151, 1.922809400013648, 3.5211580999894068, 0.9828849999466911]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.17023709998466074, 0.15993920003529638, 0.131582299945876, 0.16993159998673946, 0.16292879998218268, 0.15098380006384104, 0.07618670002557337, 0.13831119996029884, 0.08717319997958839, 0.13198189996182919, 0.9828917999984697]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide17.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio17.wav,69.24416140001267,69.24503328998108,17,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651, 0.6903856999706477, 0.5761315000709146, 0.46501200005877763, 1.420696199988015, 4.530058000003919, 5.6848815000848845, 4.926612399984151, 1.922809400013648, 3.5211580999894068, 0.9828849999466911, 0.9991254999767989]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.17023709998466074, 0.15993920003529638, 0.131582299945876, 0.16993159998673946, 0.16292879998218268, 0.15098380006384104, 0.07618670002557337, 0.13831119996029884, 0.08717319997958839, 0.13198189996182919, 0.11570449999999255, 0.9991327000316232]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
