trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,key_instr.duration,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,keyFB_3.duration,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,key_resp.duration,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,keyFB_2.duration,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,endstatus,url_stopearly,slide_stop.started,key_resp_3.started,participant,study_id,session_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide11.png,stimuli/instructions/Audio11.wav,16.182970999972895,16.166390759963544,1,[0.23750100005418062],[0.23750479985028505],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide12.png,stimuli/instructions/Audio12.wav,16.483410299988464,16.482984900008887,1,[0.26438209996558726],[0.26438589999452233],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
1,0,3,0,8,0,5,66,2,instr_dim1_1,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,conditions/inputInstr_1.xlsx,stimuli/alien_stimuli/66.png,16.897940499940887,16.897940499940887,16.897940499940887,16.897940499940887,16.81654189992696,return,0.9370566001161933,None,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",8,3,0,0,0.4,0.0,18.03074870002456,18.03074870002456,18.03074870002456,18.03074870002456,18.03074870002456,18.03074870002456,18.03074870002456,17.999627560004594,0.21711319987662137,return,0.014376100152730942,None,stimuli/alien_stimuli/66.png,66,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,,,,,,,,,,,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,70,0,0,99,1,24,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide13.png,stimuli/instructions/Audio13.wav,18.282245500013232,18.26625588005409,1,[0.8418709000106901],[0.8418741000350565],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide14.png,stimuli/instructions/Audio14.wav,19.199718300020322,19.18297139997594,1,[0.3576512997969985],[0.3576552998274565],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
2,2,3,2,3,0,0,61,2,instr_dim1_1,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/61.png,conditions/inputInstr_1.xlsx,stimuli/alien_stimuli/61.png,19.63128239987418,19.63128239987418,19.63128239987418,19.63128239987418,19.616157999960706,return,0.6223158000502735,None,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",3,3,2,2,0.0,0.0,20.449932399904355,20.449932399904355,20.449932399904355,20.449932399904355,20.449932399904355,20.449932399904355,20.449932399904355,20.43315330008045,0.25011010002344847,return,0.06360690016299486,None,stimuli/alien_stimuli/61.png,61,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,,,,,,,,,,,24,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,70,0,0,99,1,24,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide15.png,stimuli/instructions/Audio15.wav,20.74893180001527,20.73289902014658,1,[0.5419433999340981],[0.5419483999721706],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide16.png,stimuli/instructions/Audio16.wav,21.382732899859548,21.36615514000878,1,[0.4124576000031084],[0.41246200003661215],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/62.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,21.91762789990753,21.91762789990753,21.91762789990753,21.91762789990753,21.91762789990753,up,1.339133100118488,0,0,99,0,-0.32,up,1.1914124002214521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,23.232486800057814,23.232486800057814,23.232486800057814,23.232486800057814,23.232486800057814,return,0.3272027000784874,1,0,1,0,-0.32,return,0.20693280012346804,None,1,0,0,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/62.png,62,2,3,,,,,,,24,,,,,,,,28.4989264998585,28.4989264998585,28.4989264998585,28.4989264998585,28.4989264998585,up,0.4750180998817086,1,0,99,0,-0.15999999999999998,up,0.3685085002798587,None,,,,,26.932521400041878,28.4989264998585,0,-0.32,0.08,0.0,-0.36,0,0.0,0,-0.32,25.23243119986728,25.23243119986728,25.23243119986728,25.23243119986728,25.23243119986728,25.23243119986728,25.23243119986728,25.23243119986728,25.116359560145067,1.9510317000094801,return,1.6718997003044933,None,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,29.032588499831036,29.032588499831036,29.032588499831036,29.032588499831036,29.032588499831036,up,0.22640800010412931,1,0,99,0,-0.07999999999999997,up,0.08302340004593134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,29.249119200045243,29.249119200045243,29.249119200045243,29.249119200045243,29.249119200045243,up,0.21052060020156205,1,0,99,0,2.7755575615628914e-17,up,0.08266140008345246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,29.44881880003959,29.44881880003959,29.44881880003959,29.44881880003959,29.44881880003959,return,0.4109493000432849,2,0,1,0,2.7755575615628914e-17,return,0.28778450028039515,None,4,0,0,2.7755575615628914e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/64.png,64,2,4,,,,,,,24,,,,,,,,33.298540599877015,33.298540599877015,33.298540599877015,33.298540599877015,33.298540599877015,up,0.7586373998783529,2,0,99,0.08,-0.08,up,0.6671370000112802,None,,,,,31.733113100053743,33.298540599877015,0,0,0.24,0.0,-0.12,0,0.0,0,0,31.399947699857876,31.399947699857876,31.399947699857876,31.399947699857876,31.399947699857876,31.399947699857876,31.399947699857876,31.399947699857876,31.38241798016243,0.4563649999909103,return,0.31444280012510717,None,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,34.05036469991319,34.05036469991319,34.05036469991319,34.05036469991319,34.05036469991319,up,0.21019929996691644,2,0,99,0.08,0.0,up,0.12861720006912947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,34.266325999982655,34.266325999982655,34.266325999982655,34.266325999982655,34.266325999982655,up,0.19389630015939474,2,0,99,0.08,0.08,up,0.10929380008019507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,34.46820779982954,34.46820779982954,34.46820779982954,34.46820779982954,34.46820779982954,up,0.17739760014228523,2,0,99,0.08,0.16,up,0.08323390013538301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,34.651626699836925,34.651626699836925,34.651626699836925,34.651626699836925,34.651626699836925,up,0.14363189996220171,2,0,99,0.08,0.24,up,0.04847210017032921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,34.80360660003498,34.80360660003498,34.80360660003498,34.80360660003498,34.80360660003498,return,0.5441515001002699,3,0,1,0.08,0.24,return,0.45717980014160275,None,9,0,0.08,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,4,4,4,8,0,4,65,,train_dim1_1,4,24,2,0,2,0,,,,,,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/65.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,66,3,5,,,,,,,24,,,,,,,,38.84894010005519,38.84894010005519,38.84894010005519,38.84894010005519,38.84894010005519,up,0.3407350000925362,3,0,99,0.16,0.0,up,0.24151040008291602,None,,,,,37.28207580000162,38.84894010005519,0.08,0.24,0.4,0.0,0.039999999999999994,0.08,0.08,0.08,0.24,36.90129349986091,36.90129349986091,36.90129349986091,36.90129349986091,36.90129349986091,36.90129349986091,36.90129349986091,36.90129349986091,36.88235793998465,0.4851506999693811,return,0.3511248000431806,None,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,4,4,4,8,0,4,65,,train_dim1_1,4,24,2,0,2,0,,,,,,,,,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,39.183609100058675,39.183609100058675,39.183609100058675,39.183609100058675,39.183609100058675,up,0.19384759990498424,3,0,99,0.16,0.08,up,0.11130700004287064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,4,4,4,8,0,4,65,,train_dim1_1,4,24,2,0,2,0,,,,,,,,,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,39.38515829993412,39.38515829993412,39.38515829993412,39.38515829993412,39.38515829993412,up,0.19407030008733273,3,0,99,0.16,0.16,up,0.10063110012561083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,4,4,4,8,0,4,65,,train_dim1_1,4,24,2,0,2,0,,,,,,,,,0,0,0,0,0,3,3,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,39.58641549991444,39.58641549991444,39.58641549991444,39.58641549991444,39.58641549991444,up,0.21037290012463927,3,0,99,0.16,0.24,up,0.1292559001594782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
,4,4,4,8,0,4,65,,train_dim1_1,4,24,2,0,2,0,,,,,,,,,0,0,0,0,0,3,3,3,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,39.80324049992487,39.80324049992487,39.80324049992487,39.80324049992487,39.80324049992487,return,0.5440591000951827,4,0,1,0.16,0.24,return,0.4465802002232522,None,13,0,0.16,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_16h21.48.545,HideSeek_v1,2023.1.3,60.113566518857226,
