trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,key_instr.duration,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,keyFB_3.duration,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,participant,study_id,session_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,stimuli/instructions/Slide4.png,stimuli/instructions/Audio4.wav,29.906549899838865,29.905497869942337,1,[0.28107280004769564],[0.2810776000842452],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,stimuli/instructions/Slide5.png,stimuli/instructions/Audio5.wav,30.25429519987665,30.238635019864887,1,[0.3392121000215411],[0.3392153999302536],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,stimuli/instructions/Slide6.png,stimuli/instructions/Audio6.wav,30.637921900022775,30.620965390000492,1,[0.3542738000396639],[0.3542772999498993],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,stimuli/instructions/Slide7.png,stimuli/instructions/Audio7.wav,31.038525499869138,31.021444089943543,1,[0.3346320998389274],[0.33463619998656213],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,stimuli/instructions/Slide8.png,stimuli/instructions/Audio8.wav,31.438401099992916,31.42118241987191,1,[0.3514133000280708],[0.3514167000539601],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,stimuli/instructions/Slide9.png,stimuli/instructions/Audio9.wav,31.85451929992996,31.837900819955394,1,[0.3922367000486702],[0.39224119996652007],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,stimuli/instructions/Slide10.png,stimuli/instructions/Audio10.wav,32.290064099943265,32.28809891990386,1,[0.4791158000007272],[0.4791191001422703],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,stimuli/instructions/Slide11.png,stimuli/instructions/Audio11.wav,32.83800689992495,32.820919619873166,1,[0.5529243999626487],[0.55292829987593],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,stimuli/instructions/Slide12.png,stimuli/instructions/Audio12.wav,33.458454199833795,33.454685849836096,1,[0.5114458999596536],[0.5114491998683661],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
1,0,3,0,8,0,5,66,2,instr_dim1_1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,conditions/inputInstr_1.xlsx,stimuli/alien_stimuli/66.png,34.1045201998204,34.1045201998204,34.1045201998204,34.1045201998204,34.07128500984982,return,1.1116621000692248,None,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",8,3,0,0,0.4,0.0,35.50670579983853,35.50670579983853,35.50670579983853,35.50670579983853,35.50670579983853,35.50670579983853,35.50670579983853,35.422360230004415,0.5498695999849588,return,0.2724526999518275,None,stimuli/alien_stimuli/66.png,66,0,1,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
