trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio11.wav,49.991291799989995,49.987749860028266,11,"[2.614062800013926, 0.3934451999957673, 0.3541531999944709, 0.33689350000349805, 0.31363649998093024, 0.34837569994851947, 0.34884689998580143, 0.3812161000096239, 0.6456618999945931, 0.4566773999831639, 0.6104112000321038]","[0.15957989997696131, 0.15367839997634292, 0.17027130001224577, 0.16315189999295399, 0.16507129999808967, 0.1652963999658823, 0.17998150002676994, 0.16160200000740588, 0.1727481999550946, 0.17643799999495968, 0.6104196999804117]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h47.04.119,HideSeek_v1,2022.2.5,60.027973024808425,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide12.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio12.wav,50.63841660000617,50.63787526001688,12,"[2.614062800013926, 0.3934451999957673, 0.3541531999944709, 0.33689350000349805, 0.31363649998093024, 0.34837569994851947, 0.34884689998580143, 0.3812161000096239, 0.6456618999945931, 0.4566773999831639, 0.6104112000321038, 0.6122421000036411]","[0.15957989997696131, 0.15367839997634292, 0.17027130001224577, 0.16315189999295399, 0.16507129999808967, 0.1652963999658823, 0.17998150002676994, 0.16160200000740588, 0.1727481999550946, 0.17643799999495968, 0.1620960999862291, 0.6122491999994963]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h47.04.119,HideSeek_v1,2022.2.5,60.027973024808425,
1,3,2,8,2,5,0,66,2,instr_dim1_1,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/inputInstr_1.xlsx,stimuli/alien_stimuli/66.png,51.32126520003658,51.32126520003658,51.32126520003658,51.32126520003658,51.303945279994515,return,1.6037842000368983,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",2,2,8,3,0.0,0.4,53.041580600023735,53.041580600023735,53.041580600023735,53.041580600023735,53.041580600023735,53.041580600023735,53.041580600023735,53.020843699981924,0.6677709000068717,return,0.5489580999710597,stimuli/alien_stimuli/66.png,66,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h47.04.119,HideSeek_v1,2022.2.5,60.027973024808425,
,,,,,,,,,,,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_x_first/x_increasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h47.04.119,HideSeek_v1,2022.2.5,60.027973024808425,
,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide13.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio13.wav,53.712535200000275,53.7045225199894,13,"[2.614062800013926, 0.3934451999957673, 0.3541531999944709, 0.33689350000349805, 0.31363649998093024, 0.34837569994851947, 0.34884689998580143, 0.3812161000096239, 0.6456618999945931, 0.4566773999831639, 0.6104112000321038, 0.6122421000036411, 1.1900292999926023]","[0.15957989997696131, 0.15367839997634292, 0.17027130001224577, 0.16315189999295399, 0.16507129999808967, 0.1652963999658823, 0.17998150002676994, 0.16160200000740588, 0.1727481999550946, 0.17643799999495968, 0.1620960999862291, 0.6122491999994963, 1.1900361999869347]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h47.04.119,HideSeek_v1,2022.2.5,60.027973024808425,
,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide14.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio14.wav,54.948177099984605,54.93807516001397,14,"[2.614062800013926, 0.3934451999957673, 0.3541531999944709, 0.33689350000349805, 0.31363649998093024, 0.34837569994851947, 0.34884689998580143, 0.3812161000096239, 0.6456618999945931, 0.4566773999831639, 0.6104112000321038, 0.6122421000036411, 1.1900292999926023, 0.537017599970568]","[0.15957989997696131, 0.15367839997634292, 0.17027130001224577, 0.16315189999295399, 0.16507129999808967, 0.1652963999658823, 0.17998150002676994, 0.16160200000740588, 0.1727481999550946, 0.17643799999495968, 0.1620960999862291, 0.6122491999994963, 0.053147199971135706, 0.5370248999679461]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h47.04.119,HideSeek_v1,2022.2.5,60.027973024808425,
2,4,0,4,0,0,0,16,2,instr_dim1_1,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/16.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/inputInstr_1.xlsx,stimuli/alien_stimuli/16.png,55.57138869998744,55.57138869998744,55.57138869998744,55.57138869998744,55.53783087999327,return,0.611035100009758,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",0,0,4,4,0.0,0.0,56.33740379998926,56.33740379998926,56.33740379998926,56.33740379998926,56.33740379998926,56.33740379998926,56.33740379998926,56.28770292000845,0.46753299998817965,return,0.31099160003941506,stimuli/alien_stimuli/16.png,16,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h47.04.119,HideSeek_v1,2022.2.5,60.027973024808425,
,,,,,,,,,,,30,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_x_first/x_increasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h47.04.119,HideSeek_v1,2022.2.5,60.027973024808425,
,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide15.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio15.wav,56.77093430003151,56.77111993998987,15,"[2.614062800013926, 0.3934451999957673, 0.3541531999944709, 0.33689350000349805, 0.31363649998093024, 0.34837569994851947, 0.34884689998580143, 0.3812161000096239, 0.6456618999945931, 0.4566773999831639, 0.6104112000321038, 0.6122421000036411, 1.1900292999926023, 0.537017599970568, 1.464676600007806]","[0.15957989997696131, 0.15367839997634292, 0.17027130001224577, 0.16315189999295399, 0.16507129999808967, 0.1652963999658823, 0.17998150002676994, 0.16160200000740588, 0.1727481999550946, 0.17643799999495968, 0.1620960999862291, 0.6122491999994963, 0.053147199971135706, 0.5370248999679461, 1.464682999998331]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h47.04.119,HideSeek_v1,2022.2.5,60.027973024808425,
,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide16.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio16.wav,58.28039939998416,58.27081846002256,16,"[2.614062800013926, 0.3934451999957673, 0.3541531999944709, 0.33689350000349805, 0.31363649998093024, 0.34837569994851947, 0.34884689998580143, 0.3812161000096239, 0.6456618999945931, 0.4566773999831639, 0.6104112000321038, 0.6122421000036411, 1.1900292999926023, 0.537017599970568, 1.464676600007806, 0.5542034999816678]","[0.15957989997696131, 0.15367839997634292, 0.17027130001224577, 0.16315189999295399, 0.16507129999808967, 0.1652963999658823, 0.17998150002676994, 0.16160200000740588, 0.1727481999550946, 0.17643799999495968, 0.1620960999862291, 0.6122491999994963, 0.053147199971135706, 0.5370248999679461, 0.0539246000116691, 0.5542091999668628]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h47.04.119,HideSeek_v1,2022.2.5,60.027973024808425,
