trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio11.wav,70.91667229984887,70.90706319990568,11,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533, 0.29910510010086, 0.32376749999821186, 0.26403750013560057, 0.3277515999507159, 0.3105701000895351]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.11524750012904406, 0.10668859980069101, 0.11521900002844632, 0.12477979995310307, 0.10887690004892647, 0.3105838999617845]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide12.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio12.wav,71.32135929982178,71.30729302004912,12,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533, 0.29910510010086, 0.32376749999821186, 0.26403750013560057, 0.3277515999507159, 0.3105701000895351, 0.30476019997149706]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.11524750012904406, 0.10668859980069101, 0.11521900002844632, 0.12477979995310307, 0.10887690004892647, 0.10358810005709529, 0.30477350018918514]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide13.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio13.wav,71.85813489998691,71.84142757989467,13,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533, 0.29910510010086, 0.32376749999821186, 0.26403750013560057, 0.3277515999507159, 0.3105701000895351, 0.30476019997149706, 0.15811989991925657]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.11524750012904406, 0.10668859980069101, 0.11521900002844632, 0.12477979995310307, 0.10887690004892647, 0.10358810005709529, 0.30477350018918514, 0.15813079988583922]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide14.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio14.wav,72.10562659986317,72.09089001999237,14,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533, 0.29910510010086, 0.32376749999821186, 0.26403750013560057, 0.3277515999507159, 0.3105701000895351, 0.30476019997149706, 0.15811989991925657, 0.4083155000116676]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.11524750012904406, 0.10668859980069101, 0.11521900002844632, 0.12477979995310307, 0.10887690004892647, 0.10358810005709529, 0.30477350018918514, 0.10534310014918447, 0.408330500125885]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide15.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio15.wav,72.82225079997443,72.8077850799542,15,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533, 0.29910510010086, 0.32376749999821186, 0.26403750013560057, 0.3277515999507159, 0.3105701000895351, 0.30476019997149706, 0.15811989991925657, 0.4083155000116676, 0.22101239999756217]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.11524750012904406, 0.10668859980069101, 0.11521900002844632, 0.12477979995310307, 0.10887690004892647, 0.10358810005709529, 0.30477350018918514, 0.10534310014918447, 0.408330500125885, 0.22102130018174648]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide16.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio16.wav,73.13459529983811,73.12373962006532,16,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533, 0.29910510010086, 0.32376749999821186, 0.26403750013560057, 0.3277515999507159, 0.3105701000895351, 0.30476019997149706, 0.15811989991925657, 0.4083155000116676, 0.22101239999756217, 0.40889489999972284]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.11524750012904406, 0.10668859980069101, 0.11521900002844632, 0.12477979995310307, 0.10887690004892647, 0.10358810005709529, 0.30477350018918514, 0.10534310014918447, 0.408330500125885, 0.10544139984995127, 0.408917399821803]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide17.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio17.wav,73.73594489996321,73.7254397400655,17,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533, 0.29910510010086, 0.32376749999821186, 0.26403750013560057, 0.3277515999507159, 0.3105701000895351, 0.30476019997149706, 0.15811989991925657, 0.4083155000116676, 0.22101239999756217, 0.40889489999972284, 0.5072348001413047]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.11524750012904406, 0.10668859980069101, 0.11521900002844632, 0.12477979995310307, 0.10887690004892647, 0.10358810005709529, 0.30477350018918514, 0.10534310014918447, 0.408330500125885, 0.10544139984995127, 0.018182599917054176, 0.5072445999830961]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
