beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,thisRow.t,notes,setEnv.started,start_all_time,url,setEnv.stopped,skipRoutine.started,skipRoutine.stopped,instr_1.started,slideStim,audioStim,slides.started,sounds.started,participant,study_id,session_id,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.04742142200120725,start_all_time,testround,0.0529155760013964,,,,,,,,,,,2024-09-03_12h58.34.181,HideSeek_v1,2024.1.5,None,2024-09-03 12h58.45.969544 +0200,
,,,,,,,,,,,,,,0.05586565099656582,0.06368753599235788,,,,,,,,,2024-09-03_12h58.34.181,HideSeek_v1,2024.1.5,None,2024-09-03 12h58.45.969544 +0200,
,,,,,,,,0.2839649230008945,,,,,,,,0.08661153199500404,stimuli/instructions/Slide1.png,stimuli/instructions/Audio1.wav,0.2839649230008945,0.19712846400798298,,,,,,,,,
