trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,fixation_text.started,image_break_2.started,key_resp_6.started,fixation_text.stopped,key_resp_6.keys,key_resp_6.rt,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio11.wav,103.55853989999741,103.54169229000108,11,"[18.279452299990226, 3.410434899968095, 0.9691388999926858, 0.7134722999762744, 3.6133170000393875, 1.1055870999698527, 0.8454222999862395, 1.2286178999929689, 0.8696069999714382, 0.924052299989853, 12.657056499971077]","[0.1430714000016451, 0.15241889999015257, 0.1629881999688223, 0.16173990000970662, 0.155860600003507, 0.14543470001081005, 0.14494779997039586, 0.16899909998755902, 0.17466389999026433, 0.15656169998692349, 12.65706339996541]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,decreasing,top_left,2024-10-30_14h36.31.480,HideSeek_v1,2022.2.5,60.15439226933422,
,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide12.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio12.wav,116.25776509998832,116.25884612001245,12,"[18.279452299990226, 3.410434899968095, 0.9691388999926858, 0.7134722999762744, 3.6133170000393875, 1.1055870999698527, 0.8454222999862395, 1.2286178999929689, 0.8696069999714382, 0.924052299989853, 12.657056499971077, 1.5651059999945574]","[0.1430714000016451, 0.15241889999015257, 0.1629881999688223, 0.16173990000970662, 0.155860600003507, 0.14543470001081005, 0.14494779997039586, 0.16899909998755902, 0.17466389999026433, 0.15656169998692349, 0.14804870000807568, 1.565112299984321]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,decreasing,top_left,2024-10-30_14h36.31.480,HideSeek_v1,2022.2.5,60.15439226933422,
1,0,3,0,8,0,5,66,2,instr_dim1_1,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/inputInstr_1.xlsx,stimuli/alien_stimuli/66.png,117.90843070001574,117.90843070001574,117.90843070001574,117.90843070001574,117.87514602000591,return,6.255226600042079,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",8,3,0,0,0.4,0.0,124.359697900014,124.359697900014,124.359697900014,124.359697900014,124.359697900014,124.359697900014,124.359697900014,124.27490307998377,2.468538000015542,return,2.266570599982515,stimuli/alien_stimuli/66.png,66,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,decreasing,top_left,2024-10-30_14h36.31.480,HideSeek_v1,2022.2.5,60.15439226933422,
,,,,,,,,,,,30,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/x_decreasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,decreasing,top_left,2024-10-30_14h36.31.480,HideSeek_v1,2022.2.5,60.15439226933422,
,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide13.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio13.wav,126.75737690000096,126.7592812100076,13,"[18.279452299990226, 3.410434899968095, 0.9691388999926858, 0.7134722999762744, 3.6133170000393875, 1.1055870999698527, 0.8454222999862395, 1.2286178999929689, 0.8696069999714382, 0.924052299989853, 12.657056499971077, 1.5651059999945574, 6.499811499961652]","[0.1430714000016451, 0.15241889999015257, 0.1629881999688223, 0.16173990000970662, 0.155860600003507, 0.14543470001081005, 0.14494779997039586, 0.16899909998755902, 0.17466389999026433, 0.15656169998692349, 0.14804870000807568, 1.565112299984321, 6.499822599987965]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,decreasing,top_left,2024-10-30_14h36.31.480,HideSeek_v1,2022.2.5,60.15439226933422,
,,,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide14.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio14.wav,133.32516559999203,133.30887782000937,14,"[18.279452299990226, 3.410434899968095, 0.9691388999926858, 0.7134722999762744, 3.6133170000393875, 1.1055870999698527, 0.8454222999862395, 1.2286178999929689, 0.8696069999714382, 0.924052299989853, 12.657056499971077, 1.5651059999945574, 6.499811499961652, 1.572626399982255]","[0.1430714000016451, 0.15241889999015257, 0.1629881999688223, 0.16173990000970662, 0.155860600003507, 0.14543470001081005, 0.14494779997039586, 0.16899909998755902, 0.17466389999026433, 0.15656169998692349, 0.14804870000807568, 1.565112299984321, 0.13903259998187423, 1.5726328999735415]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,decreasing,top_left,2024-10-30_14h36.31.480,HideSeek_v1,2022.2.5,60.15439226933422,
2,2,3,2,3,0,0,61,2,instr_dim1_1,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/61.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/inputInstr_1.xlsx,stimuli/alien_stimuli/61.png,134.97559779998846,134.97559779998846,134.97559779998846,134.97559779998846,134.9754539799993,return,3.3239838000154123,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",3,3,2,2,0.0,0.0,138.42542400001548,138.42542400001548,138.42542400001548,138.42542400001548,138.42542400001548,138.42542400001548,138.42542400001548,138.40827728001167,4.917486199992709,return,4.7871957999886945,stimuli/alien_stimuli/61.png,61,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,decreasing,top_left,2024-10-30_14h36.31.480,HideSeek_v1,2022.2.5,60.15439226933422,
,,,,,,,,,,,30,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/x_decreasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,decreasing,top_left,2024-10-30_14h36.31.480,HideSeek_v1,2022.2.5,60.15439226933422,
,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide15.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio15.wav,143.35874019999756,143.34155211002798,15,"[18.279452299990226, 3.410434899968095, 0.9691388999926858, 0.7134722999762744, 3.6133170000393875, 1.1055870999698527, 0.8454222999862395, 1.2286178999929689, 0.8696069999714382, 0.924052299989853, 12.657056499971077, 1.5651059999945574, 6.499811499961652, 1.572626399982255, 8.135273499996401]","[0.1430714000016451, 0.15241889999015257, 0.1629881999688223, 0.16173990000970662, 0.155860600003507, 0.14543470001081005, 0.14494779997039586, 0.16899909998755902, 0.17466389999026433, 0.15656169998692349, 0.14804870000807568, 1.565112299984321, 0.13903259998187423, 1.5726328999735415, 8.135280999995302]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,decreasing,top_left,2024-10-30_14h36.31.480,HideSeek_v1,2022.2.5,60.15439226933422,
,,,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide16.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio16.wav,151.55848100001458,151.5414411200094,16,"[18.279452299990226, 3.410434899968095, 0.9691388999926858, 0.7134722999762744, 3.6133170000393875, 1.1055870999698527, 0.8454222999862395, 1.2286178999929689, 0.8696069999714382, 0.924052299989853, 12.657056499971077, 1.5651059999945574, 6.499811499961652, 1.572626399982255, 8.135273499996401, 1.7411444000317715]","[0.1430714000016451, 0.15241889999015257, 0.1629881999688223, 0.16173990000970662, 0.155860600003507, 0.14543470001081005, 0.14494779997039586, 0.16899909998755902, 0.17466389999026433, 0.15656169998692349, 0.14804870000807568, 1.565112299984321, 0.13903259998187423, 1.5726328999735415, 0.1409121000324376, 1.7411515000276268]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,decreasing,top_left,2024-10-30_14h36.31.480,HideSeek_v1,2022.2.5,60.15439226933422,
