trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,image_break_2.started,key_resp_6.started,fixation_text.stopped,key_resp_6.keys,key_resp_6.rt,draw_alienStim,draw_alienID,test_x,nrepcount,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio11.wav,41.4269868999836,41.422953759960365,11,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294, 0.22985550004523247, 0.21390400000382215, 0.21595490002073348, 0.2617896000156179, 0.22920260002138093]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.016902500006835908, 0.0002796999760903418, 0.01702660002047196, 0.06182599999010563, 0.016735900018829852, 0.22921270004007965]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide12.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio12.wav,41.732854400004726,41.72301389998756,12,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294, 0.22985550004523247, 0.21390400000382215, 0.21595490002073348, 0.2617896000156179, 0.22920260002138093, 0.39047260000370443]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.016902500006835908, 0.0002796999760903418, 0.01702660002047196, 0.06182599999010563, 0.016735900018829852, 0.1570898000500165, 0.3904804000048898]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/x_increasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide13.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio13.wav,42.38906759995734,42.37438473996008,13,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294, 0.22985550004523247, 0.21390400000382215, 0.21595490002073348, 0.2617896000156179, 0.22920260002138093, 0.39047260000370443, 1.3127435000496916]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.016902500006835908, 0.0002796999760903418, 0.01702660002047196, 0.06182599999010563, 0.016735900018829852, 0.1570898000500165, 0.3904804000048898, 1.3127533000078984]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide14.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio14.wav,43.76244459999725,43.75777409999864,14,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294, 0.22985550004523247, 0.21390400000382215, 0.21595490002073348, 0.2617896000156179, 0.22920260002138093, 0.39047260000370443, 1.3127435000496916, 0.8299372000037692]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.016902500006835908, 0.0002796999760903418, 0.01702660002047196, 0.06182599999010563, 0.016735900018829852, 0.1570898000500165, 0.3904804000048898, 0.045010600006207824, 0.8299457000102848]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/x_increasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide15.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio15.wav,44.78996989998268,44.77530277997721,15,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294, 0.22985550004523247, 0.21390400000382215, 0.21595490002073348, 0.2617896000156179, 0.22920260002138093, 0.39047260000370443, 1.3127435000496916, 0.8299372000037692, 0.409559799998533]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.016902500006835908, 0.0002796999760903418, 0.01702660002047196, 0.06182599999010563, 0.016735900018829852, 0.1570898000500165, 0.3904804000048898, 0.045010600006207824, 0.8299457000102848, 0.40956860000733286]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide16.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio16.wav,45.28966399998171,45.27370423998218,16,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294, 0.22985550004523247, 0.21390400000382215, 0.21595490002073348, 0.2617896000156179, 0.22920260002138093, 0.39047260000370443, 1.3127435000496916, 0.8299372000037692, 0.409559799998533, 0.5044151000329293]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.016902500006835908, 0.0002796999760903418, 0.01702660002047196, 0.06182599999010563, 0.016735900018829852, 0.1570898000500165, 0.3904804000048898, 0.045010600006207824, 0.8299457000102848, 0.0003739000530913472, 0.5044227000325918]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/x_increasing_steps/top_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide17.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio17.wav,45.98858909995761,45.974088779999875,17,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294, 0.22985550004523247, 0.21390400000382215, 0.21595490002073348, 0.2617896000156179, 0.22920260002138093, 0.39047260000370443, 1.3127435000496916, 0.8299372000037692, 0.409559799998533, 0.5044151000329293, 0.6072809000033885]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.016902500006835908, 0.0002796999760903418, 0.01702660002047196, 0.06182599999010563, 0.016735900018829852, 0.1570898000500165, 0.3904804000048898, 0.045010600006207824, 0.8299457000102848, 0.0003739000530913472, 0.5044227000325918, 0.6072902000159957]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
