trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,draw_alienStim,draw_alienID,test_x,nrepcount,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio11.wav,41.625432900036685,41.609102999966126,11,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719, 0.15055230003781617, 0.10447569994721562, 0.38457009999547154, 1.079923199955374, 5.738681499962695]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.0002452000044286251, 0.1505588999716565, 0.00022629997693002224, 0.00019319995772093534, 1.079930100007914, 5.7386883000144735]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide12.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio12.wav,47.41174890007824,47.40875725997612,12,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719, 0.15055230003781617, 0.10447569994721562, 0.38457009999547154, 1.079923199955374, 5.738681499962695, 4.444607299985364]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.0002452000044286251, 0.1505588999716565, 0.00022629997693002224, 0.00019319995772093534, 1.079930100007914, 0.043976099928840995, 4.444613999919966]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide13.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio13.wav,51.96916580002289,51.95948357997695,13,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719, 0.15055230003781617, 0.10447569994721562, 0.38457009999547154, 1.079923199955374, 5.738681499962695, 4.444607299985364, 2.3891169999260455]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.0002452000044286251, 0.1505588999716565, 0.00022629997693002224, 0.00019319995772093534, 1.079930100007914, 0.043976099928840995, 0.015104699996300042, 2.389123599976301]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide14.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio14.wav,54.44452430005185,54.44360703995917,14,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719, 0.15055230003781617, 0.10447569994721562, 0.38457009999547154, 1.079923199955374, 5.738681499962695, 4.444607299985364, 2.3891169999260455, 1.7457868000492454]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.0002452000044286251, 0.1505588999716565, 0.00022629997693002224, 0.00019319995772093534, 1.079930100007914, 0.043976099928840995, 0.015104699996300042, 0.04484860005322844, 1.7457976000150666]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide15.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio15.wav,56.34203569998499,56.326397159916816,15,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719, 0.15055230003781617, 0.10447569994721562, 0.38457009999547154, 1.079923199955374, 5.738681499962695, 4.444607299985364, 2.3891169999260455, 1.7457868000492454, 1.1926894000498578]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.0002452000044286251, 0.1505588999716565, 0.00022629997693002224, 0.00019319995772093534, 1.079930100007914, 0.043976099928840995, 0.015104699996300042, 0.04484860005322844, 1.7457976000150666, 1.1926963001023978]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide16.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio16.wav,57.575817100005224,57.57624966001604,16,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719, 0.15055230003781617, 0.10447569994721562, 0.38457009999547154, 1.079923199955374, 5.738681499962695, 4.444607299985364, 2.3891169999260455, 1.7457868000492454, 1.1926894000498578, 2.482321499963291]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.0002452000044286251, 0.1505588999716565, 0.00022629997693002224, 0.00019319995772093534, 1.079930100007914, 0.043976099928840995, 0.015104699996300042, 0.04484860005322844, 1.7457976000150666, 0.14779299998190254, 2.4823290000203997]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide17.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio17.wav,60.18488630000502,60.17709981992375,17,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719, 0.15055230003781617, 0.10447569994721562, 0.38457009999547154, 1.079923199955374, 5.738681499962695, 4.444607299985364, 2.3891169999260455, 1.7457868000492454, 1.1926894000498578, 2.482321499963291, 0.9396038000704721]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.0002452000044286251, 0.1505588999716565, 0.00022629997693002224, 0.00019319995772093534, 1.079930100007914, 0.043976099928840995, 0.015104699996300042, 0.04484860005322844, 1.7457976000150666, 0.14779299998190254, 0.013844700064510107, 0.9396102000027895]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
