beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio11.wav,39.93255019997014,39.915212660003455,11,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.18759360001422465]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide12.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio12.wav,40.16908479999984,40.16518267996144,12,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide13.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio13.wav,40.48435599997174,40.48197630001232,13,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.08173810003791004]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide14.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio14.wav,40.631894499994814,40.61509727996309,14,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009, 0.19344170001568273]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.02537540002958849, 0.19345160003285855]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide15.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio15.wav,40.950362399977166,40.93169665996684,15,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009, 0.19344170001568273, 0.11612959997728467]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.02537540002958849, 0.19345160003285855, 0.11613859998760745]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide16.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio16.wav,41.13389349996578,41.112324679980524,16,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009, 0.19344170001568273, 0.11612959997728467, 0.12381329998606816]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.02537540002958849, 0.19345160003285855, 0.00028789998032152653, 0.1238203999819234]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide17.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio17.wav,41.498691399989184,41.480921900016256,17,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009, 0.19344170001568273, 0.11612959997728467, 0.12381329998606816, 0.16034130001207814]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.02537540002958849, 0.19345160003285855, 0.00028789998032152653, 0.04389959998661652, 0.16034880001097918]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
