trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,image_break_2.started,key_resp_6.started,fixation_text.stopped,key_resp_6.keys,key_resp_6.rt,draw_alienStim,draw_alienID,test_x,nrepcount,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio11.wav,44.99392439995427,44.98350727995858,11,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066, 0.25563870009500533, 0.277939899940975, 0.2585239000618458, 0.2961228999774903, 0.24119790003169328]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.017220500041730702, 0.00027249997947365046, 0.01779120007995516, 0.05868020001798868, 0.0003136999439448118, 0.2412082999944687]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide12.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio12.wav,45.29306039994117,45.283772180043165,12,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066, 0.25563870009500533, 0.277939899940975, 0.2585239000618458, 0.2961228999774903, 0.24119790003169328, 0.26095100003294647]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.017220500041730702, 0.00027249997947365046, 0.01779120007995516, 0.05868020001798868, 0.0003136999439448118, 0.018137600040063262, 0.2609625000040978]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide13.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio13.wav,45.734123199945316,45.717799970053605,13,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066, 0.25563870009500533, 0.277939899940975, 0.2585239000618458, 0.2961228999774903, 0.24119790003169328, 0.26095100003294647, 0.1499700000276789]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.017220500041730702, 0.00027249997947365046, 0.01779120007995516, 0.05868020001798868, 0.0003136999439448118, 0.018137600040063262, 0.2609625000040978, 0.14997900009620935]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide14.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio14.wav,45.93172130000312,45.91643278005068,14,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066, 0.25563870009500533, 0.277939899940975, 0.2585239000618458, 0.2961228999774903, 0.24119790003169328, 0.26095100003294647, 0.1499700000276789, 0.2994864999782294]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.017220500041730702, 0.00027249997947365046, 0.01779120007995516, 0.05868020001798868, 0.0003136999439448118, 0.018137600040063262, 0.2609625000040978, 0.017603499931283295, 0.2994958999333903]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide15.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio15.wav,46.51094910001848,46.498769090080174,15,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066, 0.25563870009500533, 0.277939899940975, 0.2585239000618458, 0.2961228999774903, 0.24119790003169328, 0.26095100003294647, 0.1499700000276789, 0.2994864999782294, 0.14136200002394617]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.017220500041730702, 0.00027249997947365046, 0.01779120007995516, 0.05868020001798868, 0.0003136999439448118, 0.018137600040063262, 0.2609625000040978, 0.017603499931283295, 0.2994958999333903, 0.14137239998672158]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide16.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio16.wav,46.70415749994572,46.69962565001333,16,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066, 0.25563870009500533, 0.277939899940975, 0.2585239000618458, 0.2961228999774903, 0.24119790003169328, 0.26095100003294647, 0.1499700000276789, 0.2994864999782294, 0.14136200002394617, 0.6836041000206023]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.017220500041730702, 0.00027249997947365046, 0.01779120007995516, 0.05868020001798868, 0.0003136999439448118, 0.018137600040063262, 0.2609625000040978, 0.017603499931283295, 0.2994958999333903, 0.16221820004284382, 0.6836234000511467]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide17.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio17.wav,47.567125399946235,47.55147097002482,17,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066, 0.25563870009500533, 0.277939899940975, 0.2585239000618458, 0.2961228999774903, 0.24119790003169328, 0.26095100003294647, 0.1499700000276789, 0.2994864999782294, 0.14136200002394617, 0.6836041000206023, 0.2795282999286428]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.017220500041730702, 0.00027249997947365046, 0.01779120007995516, 0.05868020001798868, 0.0003136999439448118, 0.018137600040063262, 0.2609625000040978, 0.017603499931283295, 0.2994958999333903, 0.16221820004284382, 0.6836234000511467, 0.2795407000230625]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
