trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,breaks.thisRepN,breaks.thisTrialN,breaks.thisN,breaks.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,draw_alienStim,draw_alienID,test_x,nrepcount,image_break_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio1.wav,32.75822929991409,32.72017518985085,1,[1.1859593999106437],[1.185968300094828],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h37.10.636,HideSeek_v1,2022.2.5,59.983612464020325,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio2.wav,33.99031040002592,33.973800050094724,2,"[1.1859593999106437, 0.29378980002366006]","[0.12615060014650226, 0.29380440013483167]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h37.10.636,HideSeek_v1,2022.2.5,59.983612464020325,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio3.wav,34.35711500002071,34.34134124987759,3,"[1.1859593999106437, 0.29378980002366006, 0.9972142998594791]","[0.12615060014650226, 0.7796169000212103, 0.9972289998549968]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h37.10.636,HideSeek_v1,2022.2.5,59.983612464020325,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio4.wav,35.424108600011095,35.407580649945885,4,"[1.1859593999106437, 0.29378980002366006, 0.9972142998594791, 0.20988989993929863]","[0.12615060014650226, 0.7796169000212103, 0.9972289998549968, 0.2098977998830378]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h37.10.636,HideSeek_v1,2022.2.5,59.983612464020325,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio5.wav,35.69070459995419,35.67174106002785,5,"[1.1859593999106437, 0.29378980002366006, 0.9972142998594791, 0.20988989993929863, 0.17844430007971823]","[0.12615060014650226, 0.7796169000212103, 0.9972289998549968, 0.0002514999359846115, 0.17846349999308586]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h37.10.636,HideSeek_v1,2022.2.5,59.983612464020325,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio6.wav,35.92733970005065,35.923711749957874,6,"[1.1859593999106437, 0.29378980002366006, 0.9972142998594791, 0.20988989993929863, 0.17844430007971823, 0.08225979981943965]","[0.12615060014650226, 0.7796169000212103, 0.9972289998549968, 0.0002514999359846115, 0.17846349999308586, 0.08227709983475506]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h37.10.636,HideSeek_v1,2022.2.5,59.983612464020325,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio7.wav,36.0736356000416,36.05716555989347,7,"[1.1859593999106437, 0.29378980002366006, 0.9972142998594791, 0.20988989993929863, 0.17844430007971823, 0.08225979981943965, 0.5099835000000894]","[0.12615060014650226, 0.7796169000212103, 0.9972289998549968, 0.0002514999359846115, 0.17846349999308586, 0.12464520009234548, 0.509991800179705]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h37.10.636,HideSeek_v1,2022.2.5,59.983612464020325,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio8.wav,36.64223930006847,36.624566359957676,8,"[1.1859593999106437, 0.29378980002366006, 0.9972142998594791, 0.20988989993929863, 0.17844430007971823, 0.08225979981943965, 0.5099835000000894, 0.18404410011135042]","[0.12615060014650226, 0.7796169000212103, 0.9972289998549968, 0.0002514999359846115, 0.17846349999308586, 0.12464520009234548, 0.019564200192689896, 0.184067000169307]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h37.10.636,HideSeek_v1,2022.2.5,59.983612464020325,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio9.wav,36.88844890007749,36.873798559932034,9,"[1.1859593999106437, 0.29378980002366006, 0.9972142998594791, 0.20988989993929863, 0.17844430007971823, 0.08225979981943965, 0.5099835000000894, 0.18404410011135042, 0.13973459997214377]","[0.12615060014650226, 0.7796169000212103, 0.9972289998549968, 0.0002514999359846115, 0.17846349999308586, 0.12464520009234548, 0.019564200192689896, 0.0002656998112797737, 0.13974489993415773]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h37.10.636,HideSeek_v1,2022.2.5,59.983612464020325,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio10.wav,37.073514099931344,37.05463866991922,10,"[1.1859593999106437, 0.29378980002366006, 0.9972142998594791, 0.20988989993929863, 0.17844430007971823, 0.08225979981943965, 0.5099835000000894, 0.18404410011135042, 0.13973459997214377, 0.1442609999794513]","[0.12615060014650226, 0.7796169000212103, 0.9972289998549968, 0.0002514999359846115, 0.17846349999308586, 0.12464520009234548, 0.019564200192689896, 0.0002656998112797737, 0.0003348998725414276, 0.14427279983647168]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,red_square,top_left,2024-11-07_15h37.10.636,HideSeek_v1,2022.2.5,59.983612464020325,
