trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,wLy_dir,wLx_dir,x_movePos,y_movePos,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide11.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio11.wav,31.075116400024854,31.07409916004399,11,"[1.3878260999917984, 0.28756199998315424, 0.25023020000662655, 0.24862660001963377, 0.3427150999195874, 0.21763639990240335, 0.23007849999703467, 0.29540170007385314, 0.29945769999176264, 0.6445530999917537, 2.71556080004666]","[0.014401899999938905, 0.00020760006736963987, 0.2502378000644967, 0.014393299934454262, 0.014431599993258715, 0.0315305000403896, 0.031109800096601248, 0.0002071000635623932, 0.03147819999139756, 0.030793100013397634, 2.7155676999827847]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoe,train_y,blue_star,top_right,2024-11-18_14h12.25.454,HideSeek_v1,2022.2.5,59.984368066382295,
,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide12.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio12.wav,33.84706060006283,33.843379680044016,12,"[1.3878260999917984, 0.28756199998315424, 0.25023020000662655, 0.24862660001963377, 0.3427150999195874, 0.21763639990240335, 0.23007849999703467, 0.29540170007385314, 0.29945769999176264, 0.6445530999917537, 2.71556080004666, 0.7107008000602946]","[0.014401899999938905, 0.00020760006736963987, 0.2502378000644967, 0.014393299934454262, 0.014431599993258715, 0.0315305000403896, 0.031109800096601248, 0.0002071000635623932, 0.03147819999139756, 0.030793100013397634, 0.030708300066180527, 0.7107070999918506]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoe,train_y,blue_star,top_right,2024-11-18_14h12.25.454,HideSeek_v1,2022.2.5,59.984368066382295,
1,5,8,5,3,0,-5,66,2,instr_dim1_1,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,conditions/schedules/train_y_first/blue_star_00/top_right/inputInstr_1.xlsx,stimuli/alien_stimuli/66.png,34.64523840008769,34.64523840008769,34.64523840008769,34.64523840008769,34.64389612004161,return,9.218734599999152,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",3,8,5,5,0.4,0.0,43.999183000065386,43.999183000065386,43.999183000065386,43.999183000065386,43.999183000065386,43.999183000065386,43.999183000065386,43.98473854000913,3.40387959999498,return,3.2689024000428617,stimuli/alien_stimuli/66.png,66,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoe,train_y,blue_star,top_right,2024-11-18_14h12.25.454,HideSeek_v1,2022.2.5,59.984368066382295,
,,,,,,,,,,,30,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/blue_star_00/top_right/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoe,train_y,blue_star,top_right,2024-11-18_14h12.25.454,HideSeek_v1,2022.2.5,59.984368066382295,
,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide13.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio13.wav,47.496622500009835,47.48797266000184,13,"[1.3878260999917984, 0.28756199998315424, 0.25023020000662655, 0.24862660001963377, 0.3427150999195874, 0.21763639990240335, 0.23007849999703467, 0.29540170007385314, 0.29945769999176264, 0.6445530999917537, 2.71556080004666, 0.7107008000602946, 3.0579342999262735]","[0.014401899999938905, 0.00020760006736963987, 0.2502378000644967, 0.014393299934454262, 0.014431599993258715, 0.0315305000403896, 0.031109800096601248, 0.0002071000635623932, 0.03147819999139756, 0.030793100013397634, 0.030708300066180527, 0.7107070999918506, 3.057941299979575]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoe,train_y,blue_star,top_right,2024-11-18_14h12.25.454,HideSeek_v1,2022.2.5,59.984368066382295,
,,,,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide14.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio14.wav,50.61080790008418,50.60665078004822,14,"[1.3878260999917984, 0.28756199998315424, 0.25023020000662655, 0.24862660001963377, 0.3427150999195874, 0.21763639990240335, 0.23007849999703467, 0.29540170007385314, 0.29945769999176264, 0.6445530999917537, 2.71556080004666, 0.7107008000602946, 3.0579342999262735, 0.9527103999862447]","[0.014401899999938905, 0.00020760006736963987, 0.2502378000644967, 0.014393299934454262, 0.014431599993258715, 0.0315305000403896, 0.031109800096601248, 0.0002071000635623932, 0.03147819999139756, 0.030793100013397634, 0.030708300066180527, 0.7107070999918506, 0.00022000004537403584, 0.9527194000547752]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoe,train_y,blue_star,top_right,2024-11-18_14h12.25.454,HideSeek_v1,2022.2.5,59.984368066382295,
2,7,8,7,8,0,0,61,2,instr_dim1_1,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/61.png,conditions/schedules/train_y_first/blue_star_00/top_right/inputInstr_1.xlsx,stimuli/alien_stimuli/61.png,51.63953980000224,51.63953980000224,51.63953980000224,51.63953980000224,51.63086009997642,return,2.010619700071402,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",8,8,7,7,0.0,0.0,53.78192390000913,53.78192390000913,53.78192390000913,53.78192390000913,53.78192390000913,53.78192390000913,53.78192390000913,53.776079640013634,3.0203943999949843,return,2.883821399998851,stimuli/alien_stimuli/61.png,61,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoe,train_y,blue_star,top_right,2024-11-18_14h12.25.454,HideSeek_v1,2022.2.5,59.984368066382295,
,,,,,,,,,,,30,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/blue_star_00/top_right/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoe,train_y,blue_star,top_right,2024-11-18_14h12.25.454,HideSeek_v1,2022.2.5,59.984368066382295,
,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide15.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio15.wav,56.83447950007394,56.82880078003509,15,"[1.3878260999917984, 0.28756199998315424, 0.25023020000662655, 0.24862660001963377, 0.3427150999195874, 0.21763639990240335, 0.23007849999703467, 0.29540170007385314, 0.29945769999176264, 0.6445530999917537, 2.71556080004666, 0.7107008000602946, 3.0579342999262735, 0.9527103999862447, 2.1271263000089675]","[0.014401899999938905, 0.00020760006736963987, 0.2502378000644967, 0.014393299934454262, 0.014431599993258715, 0.0315305000403896, 0.031109800096601248, 0.0002071000635623932, 0.03147819999139756, 0.030793100013397634, 0.030708300066180527, 0.7107070999918506, 0.00022000004537403584, 0.9527194000547752, 2.127132299938239]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoe,train_y,blue_star,top_right,2024-11-18_14h12.25.454,HideSeek_v1,2022.2.5,59.984368066382295,
,,,,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide16.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio16.wav,59.01538060000166,59.014230980048886,16,"[1.3878260999917984, 0.28756199998315424, 0.25023020000662655, 0.24862660001963377, 0.3427150999195874, 0.21763639990240335, 0.23007849999703467, 0.29540170007385314, 0.29945769999176264, 0.6445530999917537, 2.71556080004666, 0.7107008000602946, 3.0579342999262735, 0.9527103999862447, 2.1271263000089675, 0.9807326000882313]","[0.014401899999938905, 0.00020760006736963987, 0.2502378000644967, 0.014393299934454262, 0.014431599993258715, 0.0315305000403896, 0.031109800096601248, 0.0002071000635623932, 0.03147819999139756, 0.030793100013397634, 0.030708300066180527, 0.7107070999918506, 0.00022000004537403584, 0.9527194000547752, 0.03130780009087175, 0.9807388000190258]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoe,train_y,blue_star,top_right,2024-11-18_14h12.25.454,HideSeek_v1,2022.2.5,59.984368066382295,
