beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,start_all_time,testround,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio1.wav,28.752685600018594,28.686805539787745,1,[1.9742036000243388],[1.9742211000411771],0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h17.03.119,HideSeek_v1,2022.2.5,60.0514400637578,
0,0,0,0,1,0,1,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio2.wav,30.722378900041804,30.705196740012614,2,"[1.9742036000243388, 0.49132820003433153]","[0.1405015999916941, 0.49133610003627837]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h17.03.119,HideSeek_v1,2022.2.5,60.0514400637578,
0,0,0,0,2,0,2,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio3.wav,31.256734599999618,31.25595333999954,3,"[1.9742036000243388, 0.49132820003433153, 0.38116019999142736]","[0.1405015999916941, 0.14756559999659657, 0.3811672999872826]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h17.03.119,HideSeek_v1,2022.2.5,60.0514400637578,
0,0,0,0,3,0,3,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio4.wav,31.689268500020262,31.672231480001937,4,"[1.9742036000243388, 0.49132820003433153, 0.38116019999142736, 0.33794789999956265]","[0.1405015999916941, 0.14756559999659657, 0.17032140004448593, 0.33795650000683963]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h17.03.119,HideSeek_v1,2022.2.5,60.0514400637578,
0,0,0,0,4,0,4,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio5.wav,32.05990600003861,32.05585327999433,5,"[1.9742036000243388, 0.49132820003433153, 0.38116019999142736, 0.33794789999956265, 0.32671439996920526]","[0.1405015999916941, 0.14756559999659657, 0.17032140004448593, 0.15941289998590946, 0.32672159996582195]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h17.03.119,HideSeek_v1,2022.2.5,60.0514400637578,
0,0,0,0,5,0,5,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio6.wav,32.42770780000137,32.422493080014824,6,"[1.9742036000243388, 0.49132820003433153, 0.38116019999142736, 0.33794789999956265, 0.32671439996920526, 0.3256165999919176]","[0.1405015999916941, 0.14756559999659657, 0.17032140004448593, 0.15941289998590946, 0.15969170001335442, 0.32562289998168126]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h17.03.119,HideSeek_v1,2022.2.5,60.0514400637578,
0,0,0,0,6,0,6,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio7.wav,32.79263219999848,32.78849798003211,7,"[1.9742036000243388, 0.49132820003433153, 0.38116019999142736, 0.33794789999956265, 0.32671439996920526, 0.3256165999919176, 0.32709360000444576]","[0.1405015999916941, 0.14756559999659657, 0.17032140004448593, 0.15941289998590946, 0.15969170001335442, 0.16110420000040904, 0.32709979999344796]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h17.03.119,HideSeek_v1,2022.2.5,60.0514400637578,
0,0,0,0,7,0,7,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio8.wav,33.16109210002469,33.15531718002166,8,"[1.9742036000243388, 0.49132820003433153, 0.38116019999142736, 0.33794789999956265, 0.32671439996920526, 0.3256165999919176, 0.32709360000444576, 0.29261800000676885]","[0.1405015999916941, 0.14756559999659657, 0.17032140004448593, 0.15941289998590946, 0.15969170001335442, 0.16110420000040904, 0.15920649998588488, 0.29262480000033975]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h17.03.119,HideSeek_v1,2022.2.5,60.0514400637578,
0,0,0,0,8,0,8,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio9.wav,33.492771700024605,33.488739180017724,9,"[1.9742036000243388, 0.49132820003433153, 0.38116019999142736, 0.33794789999956265, 0.32671439996920526, 0.3256165999919176, 0.32709360000444576, 0.29261800000676885, 0.34389780001947656]","[0.1405015999916941, 0.14756559999659657, 0.17032140004448593, 0.15941289998590946, 0.15969170001335442, 0.16110420000040904, 0.15920649998588488, 0.1601731000118889, 0.3439047000138089]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h17.03.119,HideSeek_v1,2022.2.5,60.0514400637578,
0,0,0,0,9,0,9,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio10.wav,33.871788699994795,33.855737020040394,10,"[1.9742036000243388, 0.49132820003433153, 0.38116019999142736, 0.33794789999956265, 0.32671439996920526, 0.3256165999919176, 0.32709360000444576, 0.29261800000676885, 0.34389780001947656, 0.5715455000172369]","[0.1405015999916941, 0.14756559999659657, 0.17032140004448593, 0.15941289998590946, 0.15969170001335442, 0.16110420000040904, 0.15920649998588488, 0.1601731000118889, 0.454386199999135, 0.5715540999663062]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_22h17.03.119,HideSeek_v1,2022.2.5,60.0514400637578,
