beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,participant,study_id,session_id,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,start_all_time,testround,stimuli/instructions/Slide1.png,stimuli/instructions/Audio1.wav,12.095498899929225,12.06794807051774,1,[2.024178500054404],[2.0241819000802934],0,,,,,,2024-06-28_13h23.07.733,HideSeek_v1,2023.1.3,60.08163890910185,
0,0,0,0,1,0,1,0,,,stimuli/instructions/Slide2.png,stimuli/instructions/Audio2.wav,14.194575999863446,14.178392460010945,1,[0.3757551000453532],[0.37575999996624887],0,,,,,,2024-06-28_13h23.07.733,HideSeek_v1,2023.1.3,60.08163890910185,
0,0,0,0,2,0,2,0,,,stimuli/instructions/Slide3.png,stimuli/instructions/Audio3.wav,14.662765299901366,14.66182696998585,1,[0.9652998000383377],[0.9653034000657499],0,,,,,,2024-06-28_13h23.07.733,HideSeek_v1,2023.1.3,60.08163890910185,
0,0,0,0,3,0,3,0,,,stimuli/instructions/Slide4.png,stimuli/instructions/Audio4.wav,15.744501400040463,15.728192370082251,1,[13.577355800196528],[13.577361400006339],0,,,,,,2024-06-28_13h23.07.733,HideSeek_v1,2023.1.3,60.08163890910185,
0,0,0,0,4,0,4,0,,,stimuli/instructions/Slide5.png,stimuli/instructions/Audio5.wav,29.377923999913037,29.36255974005908,1,[2.8583554001525044],[2.8583593000657856],0,,,,,,2024-06-28_13h23.07.733,HideSeek_v1,2023.1.3,60.08163890910185,
0,0,0,0,5,0,5,0,,,stimuli/instructions/Slide6.png,stimuli/instructions/Audio6.wav,32.294627299997956,32.27904213997535,1,[0.5781727998983115],[0.5781765999272466],0,,,,,,2024-06-28_13h23.07.733,HideSeek_v1,2023.1.3,60.08163890910185,
0,0,0,0,6,0,6,0,,,stimuli/instructions/Slide7.png,stimuli/instructions/Audio7.wav,32.927923700073734,32.912265840079634,1,[0.39144859998486936],[0.3914519001264125],0,,,,,,2024-06-28_13h23.07.733,HideSeek_v1,2023.1.3,60.08163890910185,
0,0,0,0,7,0,7,0,,,stimuli/instructions/Slide8.png,stimuli/instructions/Audio8.wav,33.394819299923256,33.37888944998849,1,[0.3579987999983132],[0.3580026999115944],0,,,,,,2024-06-28_13h23.07.733,HideSeek_v1,2023.1.3,60.08163890910185,
0,0,0,0,8,0,8,0,,,stimuli/instructions/Slide9.png,stimuli/instructions/Audio9.wav,33.81214739987627,33.79520194008946,1,[0.30118130007758737],[0.30118570011109114],0,,,,,,2024-06-28_13h23.07.733,HideSeek_v1,2023.1.3,60.08163890910185,
0,0,0,0,9,0,9,0,,,stimuli/instructions/Slide10.png,stimuli/instructions/Audio10.wav,34.177636799868196,34.16169934007339,1,[0.4231934999115765],[0.42319880006834865],0,,,,,,2024-06-28_13h23.07.733,HideSeek_v1,2023.1.3,60.08163890910185,
,,,,,,,,,,stimuli/instructions/Slide11.png,stimuli/instructions/Audio11.wav,34.664743500063196,34.66169295005966,,,,,,,,,,,,,,
