trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide11.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio11.wav,34.019921500002965,34.00337723002885,11,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186, 0.3036191000137478, 0.3382985000498593, 0.2678806000039913, 0.3679675999446772, 0.3804247999796644, 0.46184409997658804]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.05351710005197674, 0.03845839999848977, 0.33830820000730455, 0.014920699992217124, 0.06378189998213202, 0.14413470000727102, 0.46185129997320473]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide12.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio12.wav,34.5192776999902,34.5198410400073,12,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186, 0.3036191000137478, 0.3382985000498593, 0.2678806000039913, 0.3679675999446772, 0.3804247999796644, 0.46184409997658804, 0.5821017000125721]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.05351710005197674, 0.03845839999848977, 0.33830820000730455, 0.014920699992217124, 0.06378189998213202, 0.14413470000727102, 0.047631499997805804, 0.5821093000122346]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
1,2,8,2,3,0,-5,11,2,instr_dim1_1,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/11.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/inputInstr_1.xlsx,stimuli/alien_stimuli/11.png,35.21689460001653,35.21689460001653,35.21689460001653,35.21689460001653,35.16909335003584,return,1.1483454999979585,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",3,8,2,2,0.4,0.0,36.55376089998754,36.55376089998754,36.55376089998754,36.55376089998754,36.55376089998754,36.55376089998754,36.55376089998754,36.45227745003649,0.4005747999763116,return,0.21406589995604008,stimuli/alien_stimuli/11.png,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide13.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio13.wav,36.88732370000798,36.88541497004334,13,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186, 0.3036191000137478, 0.3382985000498593, 0.2678806000039913, 0.3679675999446772, 0.3804247999796644, 0.46184409997658804, 0.5821017000125721, 0.864025600021705]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.05351710005197674, 0.03845839999848977, 0.33830820000730455, 0.014920699992217124, 0.06378189998213202, 0.14413470000727102, 0.047631499997805804, 0.5821093000122346, 0.8640335000236519]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide14.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio14.wav,37.80171430000337,37.80253574000671,14,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186, 0.3036191000137478, 0.3382985000498593, 0.2678806000039913, 0.3679675999446772, 0.3804247999796644, 0.46184409997658804, 0.5821017000125721, 0.864025600021705, 0.5826428000000305]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.05351710005197674, 0.03845839999848977, 0.33830820000730455, 0.014920699992217124, 0.06378189998213202, 0.14413470000727102, 0.047631499997805804, 0.5821093000122346, 0.06604740000329912, 0.5826495999936014]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
2,0,8,0,8,0,0,16,2,instr_dim1_1,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/16.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/inputInstr_1.xlsx,stimuli/alien_stimuli/16.png,38.45230870001251,38.45230870001251,38.45230870001251,38.45230870001251,38.43579534003511,return,0.7736940000322647,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",8,8,0,0,0.0,0.0,39.35223600000609,39.35223600000609,39.35223600000609,39.35223600000609,39.35223600000609,39.35223600000609,39.35223600000609,39.33556426003342,0.40110870002536103,return,0.2792769999941811,stimuli/alien_stimuli/16.png,16,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,30,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide15.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio15.wav,39.75988890003646,39.75230877001886,15,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186, 0.3036191000137478, 0.3382985000498593, 0.2678806000039913, 0.3679675999446772, 0.3804247999796644, 0.46184409997658804, 0.5821017000125721, 0.864025600021705, 0.5826428000000305, 1.0415732000255957]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.05351710005197674, 0.03845839999848977, 0.33830820000730455, 0.014920699992217124, 0.06378189998213202, 0.14413470000727102, 0.047631499997805804, 0.5821093000122346, 0.06604740000329912, 0.5826495999936014, 1.0415810000267811]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide16.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio16.wav,40.854019000020344,40.8524412400322,16,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186, 0.3036191000137478, 0.3382985000498593, 0.2678806000039913, 0.3679675999446772, 0.3804247999796644, 0.46184409997658804, 0.5821017000125721, 0.864025600021705, 0.5826428000000305, 1.0415732000255957, 0.44836470001609996]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.05351710005197674, 0.03845839999848977, 0.33830820000730455, 0.014920699992217124, 0.06378189998213202, 0.14413470000727102, 0.047631499997805804, 0.5821093000122346, 0.06604740000329912, 0.5826495999936014, 0.047555800003465265, 0.44837110000662506]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
