beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,thisRow.t,notes,setEnv.started,start_all_time,url,setEnv.stopped,skipRoutine.started,skipRoutine.stopped,instr_1.started,slideStim,audioStim,slides.started,sounds.started,participant,study_id,session_id,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.08989795399975264,start_all_time,testround,0.09115496699996584,,,,,,,,,,,2024-07-11_15h52.33.794,HideSeek_v1,2024.1.5,None,2024-07-11 15h52.45.614450 +0200,
,,,,,,,,,,,,,,0.09125031599978684,0.09202260199981538,,,,,,,,,2024-07-11_15h52.33.794,HideSeek_v1,2024.1.5,None,2024-07-11 15h52.45.614450 +0200,
,,,,,,,,0.33081771599972853,,,,,,,,0.10655038699951547,stimuli/instructions/Slide1.png,stimuli/instructions/Audio1.wav,0.33081771599972853,0.23366411233285664,,,,,,,,,
